DateTime,AddedIPs,RemovedIPs
1495060007,256,256
1495062603,256,256
1495062914,5,24
1495065603,3,0
1495066809,38,8
1495070146,37,6
1495071907,256,256
1495072203,1,0
1495073723,17,5
1495077487,11,24
1495079051,1,0
1495081503,2,8
1495084806,7,7
1495086317,1,0
1495088646,4,18
1495091759,4,14
1495094703,256,256
1495095602,9,28
1495099206,39,6
1495103044,19,3
1495104603,1,1
1495106403,4,3
1495110002,2,9
1495113612,10,7
1495116930,6,10
1495120803,6,5
1495124704,4,4
1495126802,18944,553216
1495128006,11,18
1495130420,2048,2048
1495132084,6,9
1495133106,256,256
1495135202,5,10
1495136887,256,256
1495137903,256,256
1495138806,7,14
1495141802,256,256
1495142107,1,1
1495142402,30,11
1495143906,512,512
1495145775,1,6
1495148429,256,256
1495149609,4,7
1495152002,1,0
1495152966,27,7
1495156802,11,8
1495157703,2048,84223
1495159803,256,256
1495160402,5,5
1495160702,256,256
1495163403,256,256
1495164002,13,26
1495164303,256,256
1495167333,10,8
1495171503,7,6
1495174577,0,1
1495174619,6,8
1495176489,0,1
1495178407,7,29
1495181103,256,256
1495181762,10,8
1495185314,1,0
1495185602,15,19
1495189121,26,0
1495192808,9,4
1495196155,2,4
1495199710,1,0
1495200002,3,5
1495203903,4,10
1495207202,4,24
1495210802,14,6
1495213202,0,118784
1495213926,1536,1536
1495214402,22,13
1495218606,6,6
1495221606,2,7
1495224302,511,512
1495225448,4,7
1495228671,15,22
1495231803,256,256
1495232175,1,0
1495232403,7,10
1495232706,256,256
1495236490,16,2
1495238703,2,0
1495239002,256,256
1495239373,34,4
1495243206,7,11
1495246517,13,8
1495250703,4,15
1495254008,17,22
1495257329,3,3
1495258802,256,256
1495259402,0,1
1495261203,8,26
1495264802,8,4
1495266603,1,0
1495268315,25,3
1495272002,6,3
1495275606,4,14
1495278925,9,4
1495282589,4,8
1495286393,7,3
1495287907,0,1
1495289732,7,16
1495293903,13,8
1495296965,1024,1023
1495297503,5,10
1495299602,1024,27904
1495300808,13,7
1495301103,256,256
1495303223,256,256
1495304403,5,4
1495307103,256,256
1495308003,5,10
1495308485,512,512
1495312206,9,3
1495315206,2,14
1495315503,256,256
1495316402,0,1024
