DateTime,AddedIPs,RemovedIPs
1495512722,80,80
1495513322,80,80
1495513922,80,80
1495514521,54,54
1495515721,77,77
1495516321,80,80
1495516921,77,77
1495517523,80,80
1495518121,78,78
1495518721,80,80
1495519321,80,80
1495519922,79,79
1495520521,74,74
1495521121,80,80
1495521722,76,76
1495522321,80,80
1495522921,79,79
1495523521,80,80
1495524122,73,73
1495525322,80,80
1495525922,80,80
1495526523,80,80
1495527722,78,78
1495528321,71,71
1495528922,80,80
1495529521,79,79
1495530122,78,78
1495530722,80,80
1495531322,76,76
1495532521,77,77
1495533121,78,78
1495534322,78,78
1495534922,80,80
1495535522,79,79
1495536122,76,76
1495536722,76,76
1495537321,80,80
1495537921,80,80
1495538522,80,80
1495539722,77,77
1495540322,75,75
1495540922,75,75
1495541522,80,80
1495542121,80,80
1495542721,78,78
1495543321,76,76
1495543921,69,69
1495544521,78,78
1495545122,73,73
1495545721,79,79
1495546321,80,80
1495546921,80,80
1495547521,76,76
1495548121,80,80
1495549922,74,74
1495550522,66,66
1495551722,80,80
1495552322,80,80
1495552921,79,79
1495553521,79,79
1495554121,79,79
1495554721,76,76
1495555322,80,80
1495555922,75,75
1495556521,71,71
1495557122,70,70
1495557731,52,52
1495558322,80,80
1495558921,80,80
1495559521,74,74
1495560126,72,72
1495560722,79,79
1495561321,80,80
1495562522,78,78
1495563121,80,80
1495563721,80,80
1495564322,63,63
1495564922,80,80
1495566122,75,75
1495566722,80,80
1495567321,71,71
1495567922,80,80
1495568522,65,65
1495569121,80,80
1495569721,79,79
1495570922,73,73
1495571522,69,69
1495572121,78,78
1495573322,80,80
1495573922,80,80
1495574522,80,80
1495575121,80,80
1495575722,78,78
1495576922,80,80
1495578122,74,74
1495578721,80,80
1495579321,74,74
1495579921,80,80
1495580521,78,78
1495581122,67,67
1495581721,76,76
1495582322,80,80
1495582921,77,77
1495583522,80,80
1495584122,72,72
1495584721,74,74
1495585322,80,80
1495585922,22,22
1495586522,80,80
1495587122,80,80
1495587721,80,80
1495588322,79,79
1495588921,70,70
1495589521,78,78
1495590123,78,78
1495590721,78,78
1495591321,79,79
1495591921,65,65
1495592522,80,80
1495593121,80,80
1495593722,42,42
1495594321,80,80
1495594922,80,80
1495596121,80,80
1495596721,69,69
1495597321,72,72
1495598522,80,80
1495599122,80,80
1495599722,80,80
1495600322,71,71
1495600921,80,80
1495601522,80,80
1495602721,71,71
1495603321,80,80
1495604521,80,80
1495605122,80,80
1495605722,79,79
1495606321,73,73
1495606922,80,80
1495607521,80,80
1495608122,80,80
1495608721,80,80
1495609322,77,77
1495609923,80,80
1495610522,75,75
1495611122,80,80
1495611721,77,77
