DateTime,AddedIPs,RemovedIPs
1492601287,45,46
1492609204,85,85
1492613043,63,43
1492616883,56,53
1492622644,97,69
1492628885,77,54
1492632726,96,86
1492636564,56,70
1492644484,78,131
1492650244,78,69
1492654084,99,123
1492659844,176,184
1492669444,145,117
1492675214,99,114
1492683124,65,58
1492686963,84,76
1492694644,81,80
1492700414,100,88
1492706170,58,55
1492710005,58,65
1492713844,108,77
1492721523,93,98
1492729211,53,82
1492733284,101,157
1492739044,38,58
1492742884,91,66
1492748644,183,180
1492754412,141,131
1492760407,49,47
1492764243,48,40
1492770015,95,83
1492776013,82,78
1492782005,49,49
1492785844,88,96
1492795684,92,81
1492801684,66,53
1492803605,70,50
1492807443,87,124
1492815619,92,122
1492821365,81,65
1492825444,46,61
1492829284,137,155
1492836965,147,148
1492844884,114,97
1492848723,44,39
1492854484,50,44
1492856418,56,48
1492864085,115,76
1492869844,90,81
1492875606,43,47
1492879446,75,82
1492887125,65,47
1492889044,48,55
1492894814,92,102
1492902485,69,124
1492908244,83,66
1492910164,49,48
1492915924,144,164
1492921685,95,99
1492927684,144,129
1492935363,88,77
1492943044,87,72
1492948811,110,97
1492954805,94,77
1492962484,88,82
1492972085,81,85
1492975924,93,97
1492985524,84,112
1492991284,110,127
1492997045,50,71
1493002807,138,139
1493008563,87,88
1493010485,65,72
1493014563,84,56
1493022245,82,98
1493028013,95,72
1493035924,106,100
1493042164,54,53
1493046010,86,95
1493053685,114,81
1493057524,68,58
1493063284,115,106
1493069044,44,75
1493072883,54,68
1493078644,119,133
1493082483,45,63
1493088483,148,162
1493098084,145,152
1493102164,97,50
1493107923,99,102
1493111764,58,50
1493119465,81,86
1493125215,95,82
1493133364,97,92
1493139124,69,55
1493142965,70,64
1493146809,91,100
1493152580,108,101
1493160244,91,144
1493167923,107,131
1493175609,141,152
1493181604,117,106
1493185444,67,81
1493189284,117,91
1493196964,42,62
1493198884,49,50
1493202723,45,56
1493206805,42,37
1493210644,70,80
1493218323,79,66
1493226013,81,88
1493231763,52,50
1493235605,89,72
1493243284,53,99
1493250964,99,104
1493256723,40,54
1493262483,141,145
1493268483,98,93
1493270404,67,72
1493278084,110,88
1493281924,41,43
1493287685,89,62
1493293444,42,35
1493299443,60,77
1493305221,83,70
1493313124,79,68
1493320804,99,102
1493324644,43,49
1493328485,37,53
1493332324,66,96
1493340004,77,56
1493341924,31,54
1493347683,128,123
1493357285,137,146
1493361123,76,52
1493367132,69,67
1493372883,44,43
1493376724,48,33
1493380564,71,68
1493388244,85,75
1493394245,42,42
1493396405,44,48
1493402164,83,68
1493408185,43,53
1493412005,45,38
1493415844,65,88
1493425444,107,96
1493431685,96,98
1493437444,68,87
1493439363,82,75
1493447044,128,124
1493450883,39,42
1493456885,91,82
1493462645,59,72
1493469124,48,39
1493475124,49,36
1493477045,78,61
1493485226,51,67
1493492885,63,74
1493498644,70,81
1493506323,31,45
1493510165,104,97
1493515924,34,54
1493519764,76,65
1493521684,70,94
1493525523,89,92
1493533204,122,113
1493538964,81,63
1493546885,71,54
1493552644,39,43
1493556964,66,66
1493562724,79,63
1493572803,59,65
1493578814,65,85
1493584563,40,48
1493588405,50,60
1493594163,68,97
1493598245,88,71
1493602085,52,63
1493609764,170,159
1493613605,130,132
1493621284,132,100
1493627043,48,46
1493630884,52,47
1493636644,87,77
1493644324,92,64
1493650084,107,79
1493655844,88,87
1493665684,79,82
1493671445,64,79
1493679364,67,90
1493687284,88,93
1493693044,65,57
1493698803,180,152
1493704564,149,124
1493712485,100,78
